KOfam	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Ia.1.I	p_Ib.1	p_Ia.4.II	p_Ia.4.RS39	p_Ia.4.1483	p_Ia.3.V	p_Ia.3.IV	p_Ia.3.III	p_Ia.3.I	p_Ia.3.II	p_Ia.3.VI	N_Ia.1.I	N_Ib.1	N_Ia.4.II	N_Ia.4.RS39	N_Ia.4.1483	N_Ia.3.V	N_Ia.3.IV	N_Ia.3.III	N_Ia.3.I	N_Ia.3.II	N_Ia.3.VI
leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]	53.49008981912984	6.037330009192678e-8	3.7313644495839616e-7	Ib.1, Ia.4.II, Ia.4.1483, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K02654	GC_00001252, GC_00001486, GC_00002158	0.7143	1	1	0.25	1	0.125	1	1	1	1	0.9574	7	2	7	4	1	8	2	5	3	6	47
putative redox protein	52.712631718442914	8.418989151811444e-8	5.178087017157815e-7	Ia.1.I, Ia.3.II	K07397	GC_00001952	0.7143	0	0	0	0	0	0	0	0	0.3333	0	7	2	7	4	1	8	2	5	3	6	47
glycosyltransferase [EC:2.4.1.-]	51.70812842558758	1.2922163081402608e-7	7.90936262035609e-7	Ia.4.II, Ia.4.1483	K13002	GC_00003647	0	0	0.1429	0	1	0	0	0	0	0	0	7	2	7	4	1	8	2	5	3	6	47
NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]	51.23389100036741	1.5811624815917267e-7	9.631408000849605e-7	Ia.1.I, Ia.4.II, Ia.4.1483, Ia.3.III, Ia.3.II, Ia.3.VI	K00355	GC_00001009	1	0.5	1	0.25	1	0.375	0.5	1	0.6667	1	1	7	2	7	4	1	8	2	5	3	6	47
D-glutamate cyclase [EC:4.2.1.48]	51.13170672381298	1.651364363884299e-7	1.0010902626992378e-6	Ia.1.I, Ia.3.IV, Ia.3.VI	K22210	GC_00001336	0.5714	0	0	0	0	0	1	0	0	0	0.766	7	2	7	4	1	8	2	5	3	6	47
multiple sugar transport system substrate-binding protein	50.19492591831661	2.457556472144429e-7	1.4756986019938348e-6	Ia.4.II, Ia.3.V, Ia.3.VI	K02027	GC_00001105, GC_00001191, GC_00001861	0.5714	0	0.8571	0.5	0	1	0.5	0.8	0	0.8333	1	7	2	7	4	1	8	2	5	3	6	47
multiple sugar transport system permease protein	50.19492591831661	2.457556472144429e-7	1.4756986019938348e-6	Ia.4.II, Ia.3.V, Ia.3.VI	K02025	GC_00001115, GC_00001116, GC_00001192, GC_00001405, GC_00001857	0.5714	0	0.8571	0.5	0	1	0.5	0.8	0	0.8333	1	7	2	7	4	1	8	2	5	3	6	47
creatinase [EC:3.5.3.3]	49.61221240561917	3.1450531381476583e-7	1.8796143047325865e-6	Ia.1.I, Ib.1, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K08688	GC_00000945	1	1	0.7143	0.25	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
type IV pilus assembly protein PilA	49.04185319305978	4.0019350224205627e-7	2.380493743383499e-6	Ib.1, Ia.4.II, Ia.4.1483, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K02650	GC_00001278, GC_00001419, GC_00001887, GC_00002085, GC_00002428, GC_00002869, GC_00002921, GC_00003590, GC_00003653, GC_00003654, GC_00003655, GC_00003792, GC_00004239, GC_00004669, GC_00004739, GC_00004792, GC_00004837, GC_00005397, GC_00005564, GC_00005836, GC_00006051, GC_00006141, GC_00006164, GC_00006325, GC_00006329, GC_00007241	0.7143	1	1	0.25	1	0.125	1	1	1	1	0.9362	7	2	7	4	1	8	2	5	3	6	47
N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase [EC:2.4.1.289]	48.060976787464114	6.049591947995598e-7	3.581697662668422e-6	Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.II	K16870	GC_00001553, GC_00001877, GC_00002791, GC_00003602, GC_00003708, GC_00003713, GC_00004030	0.1429	0	1	1	1	0.5	0.5	0.8	0.3333	0.6667	0.0851	7	2	7	4	1	8	2	5	3	6	47
arsenate reductase (thioredoxin) [EC:1.20.4.4]	47.116566481266474	8.992706106336313e-7	5.2994226217340034e-06	Ia.3.V, Ia.3.I, Ia.3.VI	K03741	GC_00001232	0	0.5	0.2857	0	0	0.625	0	0.4	1	0	0.8511	7	2	7	4	1	8	2	5	3	6	47
L-lyxonate dehydratase [EC:4.2.1.176]	46.30629680203883	1.2621135446334737e-6	7.403230838197274e-6	Ia.1.I, Ib.1, Ia.4.II, Ia.3.IV	K25260	GC_00002177	0.1429	0.5	0.2857	0	0	0	1	0	0	0	0	7	2	7	4	1	8	2	5	3	6	47
heme oxygenase (staphylobilin-producing) [EC:1.14.99.48]	46.27026615325582	1.2812484559796737e-6	7.480837759107127e-6	Ib.1, Ia.4.II, Ia.4.RS39, Ia.3.I	K07145	GC_00001912	0	0.5	0.5714	0.25	0	0	0	0	0.6667	0	0	7	2	7	4	1	8	2	5	3	6	47
coenzyme F420 hydrogenase subunit beta [EC:1.12.98.1]	46.125838996356	1.3608765767586833e-6	7.909314783271797e-6	Ib.1, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K00441	GC_00001301, GC_00007775	0	1	0	0	0	0	0	0.8	1	0.8333	0.7021	7	2	7	4	1	8	2	5	3	6	47
2-amino-1-hydroxyethylphosphonate dioxygenase (glycine-forming) [EC:1.13.11.78]	46.08545233819827	1.3840070419611588e-6	8.007017909428257e-6	Ib.1, Ia.3.V, Ia.3.IV, Ia.3.I	K21196	GC_00002120, GC_00003436	0	1	0	0	0	0.25	0.5	0	0.6667	0	0.0213	7	2	7	4	1	8	2	5	3	6	47
renalase [EC:1.6.3.5]	45.97864027057033	1.4470741938352958e-6	8.333831834496908e-6	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K18208	GC_00000906	1	1	1	1	0	1	1	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
lipopolysaccharide transport system permease protein	45.49508756804393	1.7700917185818992e-6	9.836430734401369e-6	Ib.1	K09690	GC_00007650	0	0.5	0	0	0	0	0	0	0	0	0	7	2	7	4	1	8	2	5	3	6	47
AraC family transcriptional regulator, chitin signaling transcriptional activator	45.49508756804393	1.7700917185818992e-6	9.836430734401369e-6	Ib.1	K19693	GC_00005107	0	0.5	0	0	0	0	0	0	0	0	0	7	2	7	4	1	8	2	5	3	6	47
GlcNAc-P-P-Und epimerase [EC:5.1.3.26]	45.49508756804393	1.7700917185818992e-6	9.836430734401369e-6	Ib.1	K19997	GC_00007461	0	0.5	0	0	0	0	0	0	0	0	0	7	2	7	4	1	8	2	5	3	6	47
NADH dehydrogenase (ubiquinone) Fe-S protein 4	45.495087568043665	1.7700917185820931e-6	9.836430734401369e-6	Ia.1.I, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K03937	GC_00000826	1	0.5	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
translocator protein	45.495087568043665	1.7700917185820931e-6	9.836430734401369e-6	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K05770	GC_00000484	1	1	1	1	1	1	0.5	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
peptide/bleomycin uptake transporter	45.495087568043665	1.7700917185820931e-6	9.836430734401369e-6	Ia.1.I, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K17938	GC_00000862	1	0.5	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
lipid A 3-O-deacylase [EC:3.1.1.-]	45.495087568043665	1.7700917185820931e-6	9.836430734401369e-6	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K12976	GC_00000923, GC_00003778	1	1	1	1	1	1	0.5	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
amidase [EC:3.5.1.4]	45.495087568043665	1.7700917185820931e-6	9.836430734401369e-6	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K01426	GC_00000836, GC_00002267	1	1	1	1	1	1	0.5	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
iron(III) transport system ATP-binding protein [EC:7.2.2.7]	44.977787004652626	2.1948855874963302e-6	1.2038614888995024e-5	Ia.4.RS39	K02010	GC_00003374	0	0	0	0.5	0	0	0	0	0	0	0	7	2	7	4	1	8	2	5	3	6	47
dolichyl-phosphate beta-glucosyltransferase [EC:2.4.1.117]	44.977787004652626	2.1948855874963302e-6	1.2038614888995024e-5	Ia.4.RS39	K00729	GC_00006549, GC_00007693	0	0	0	0.5	0	0	0	0	0	0	0	7	2	7	4	1	8	2	5	3	6	47
phosphoglycerate transport regulatory protein PgtC	44.977787004652626	2.1948855874963302e-6	1.2038614888995024e-5	Ia.4.RS39	K08478	GC_00003970	0	0	0	0.5	0	0	0	0	0	0	0	7	2	7	4	1	8	2	5	3	6	47
phosphate transport system permease protein	44.64397920839662	2.521056876069118e-6	1.359225132757265e-5	Ia.4.1483, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K02037	GC_00001052, GC_00001060	0.4286	0.5	0.4286	0.5	1	0.625	0	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
phosphate transport system substrate-binding protein	44.64397920839662	2.521056876069118e-6	1.359225132757265e-5	Ia.4.1483, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K02040	GC_00001059	0.4286	0.5	0.4286	0.5	1	0.625	0	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
phosphate transport system protein	44.64397920839662	2.521056876069118e-6	1.359225132757265e-5	Ia.4.1483, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K02039	GC_00001047	0.4286	0.5	0.4286	0.5	1	0.625	0	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
phosphate transport system ATP-binding protein [EC:7.3.2.1]	44.64397920839662	2.521056876069118e-6	1.359225132757265e-5	Ia.4.1483, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K02036	GC_00001048	0.4286	0.5	0.4286	0.5	1	0.625	0	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
2,4-didehydro-3-deoxy-L-rhamnonate hydrolase [EC:3.7.1.26]	44.44943948902157	2.732809305087735e-6	1.4626305386783009e-5	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.VI	K18336	GC_00000041	1	1	1	1	1	1	1	1	1	0.5	1	7	2	7	4	1	8	2	5	3	6	47
CDGSH iron-sulfur domain-containing protein 3	44.446677712917825	2.7359387345442564e-6	1.4626305386783009e-5	Ia.1.I, Ia.4.RS39, Ia.4.1483, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K23886	GC_00001233	1	0	0	0.75	1	0.125	1	1	1	1	0.3191	7	2	7	4	1	8	2	5	3	6	47
gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]	43.915028520754575	3.4093752631242924e-6	1.8149909488985204e-5	Ia.3.V	K00681	GC_00002472	0	0	0	0	0	0.5	0	0	0	0	0	7	2	7	4	1	8	2	5	3	6	47
deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]	43.69932775780718	3.727210886027683e-6	1.975889620333504e-5	Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.II, Ia.3.VI	K01669	GC_00000897, GC_00001447	0.8571	1	1	1	1	1	1	1	0.3333	1	1	7	2	7	4	1	8	2	5	3	6	47
phosphonate transport system permease protein	43.132644605167535	4.708665149558664e-6	2.4652391506160445e-5	Ia.3.V, Ia.3.I	K02042	GC_00003332, GC_00003571, GC_00007399	0	0	0	0	0	0.125	0	0	0.6667	0	0	7	2	7	4	1	8	2	5	3	6	47
phosphonate transport system substrate-binding protein	43.132644605167535	4.708665149558664e-6	2.4652391506160445e-5	Ia.3.V, Ia.3.I	K02044	GC_00003826, GC_00004317	0	0	0	0	0	0.125	0	0	0.6667	0	0	7	2	7	4	1	8	2	5	3	6	47
phosphonate transport system ATP-binding protein [EC:7.3.2.2]	43.132644605167535	4.708665149558664e-6	2.4652391506160445e-5	Ia.3.V, Ia.3.I	K02041	GC_00003089, GC_00006469	0	0	0	0	0	0.125	0	0	0.6667	0	0	7	2	7	4	1	8	2	5	3	6	47
N-acetyltransferase	42.64023126197797	5.766195582895337e-6	3.0064896310816426e-5	Ia.4.1483, Ia.3.III, Ia.3.II, Ia.3.VI	K22479	GC_00001340	0	0	0	0	1	0.125	0	1	0	1	0.5957	7	2	7	4	1	8	2	5	3	6	47
putative tricarboxylic transport membrane protein	41.960526574088945	7.620923165955344e-6	3.9572580537973034e-5	Ia.1.I, Ia.4.II, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.VI	K07794	GC_00001082, GC_00001085, GC_00001090, GC_00001172, GC_00001177, GC_00001185, GC_00001984, GC_00001992, GC_00001996, GC_00002474, GC_00002709, GC_00004057, GC_00005219, GC_00006439, GC_00006985, GC_00007308, GC_00007448, GC_00007502, GC_00007582, GC_00007687, GC_00007748, GC_00007815, GC_00008000	0.8571	0.5	0.8571	0	1	0.875	1	0.6	0.6667	0.5	1	7	2	7	4	1	8	2	5	3	6	47
protein O-mannosyl-transferase [EC:2.4.1.-]	41.16177081276361	1.056377093659564e-5	5.462978684353745e-5	Ia.3.III, Ia.3.II, Ia.3.VI	K23424	GC_00001362, GC_00001954, GC_00004089	0	0	0	0	0	0.125	0	1	0	0.8333	0.6383	7	2	7	4	1	8	2	5	3	6	47
threonine dehydratase [EC:4.3.1.19]	40.6681868492026	1.2916960259664973e-5	6.625825363965797e-5	Ia.3.III	K01754	GC_00002021	0	0	0	0	0	0	0	0.8	0	0	0.0638	7	2	7	4	1	8	2	5	3	6	47
L-2,4-diaminobutyrate transaminase [EC:2.6.1.76]	40.6681868492026	1.2916960259664973e-5	6.625825363965797e-5	Ia.3.III	K15785	GC_00002022	0	0	0	0	0	0	0	0.8	0	0	0.0638	7	2	7	4	1	8	2	5	3	6	47
beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.144]	40.138331096593014	1.602016150669784e-5	8.184493802010549e-5	Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.II	K00737	GC_00001468, GC_00001549, GC_00001684, GC_00002268, GC_00002405, GC_00002809, GC_00003080, GC_00003770, GC_00003794, GC_00005248, GC_00005733, GC_00006049, GC_00006536, GC_00007785	0.2857	0	1	1	1	0.75	0.5	0.8	0.3333	0.5	0.1489	7	2	7	4	1	8	2	5	3	6	47
phosphoenolpyruvate---glycerone phosphotransferase subunit DhaK [EC:2.7.1.121]	39.72496892578232	1.894214205475872e-5	9.638431318626223e-5	Ib.1, Ia.3.V, Ia.3.I	K05878	GC_00001852, GC_00002270	0	1	0	0	0	0.375	0	0	1	0	0.1064	7	2	7	4	1	8	2	5	3	6	47
protein-tyrosine sulfotransferase [EC:2.8.2.20]	39.590465813029525	2.000180897857878e-5	1.0136916790343726e-4	Ib.1, Ia.3.III, Ia.3.I, Ia.3.II	K01021	GC_00002116, GC_00003577, GC_00003604, GC_00003629, GC_00004037, GC_00004050, GC_00004324, GC_00004714, GC_00004894, GC_00004940, GC_00005254, GC_00005790, GC_00005844, GC_00006034, GC_00006783, GC_00006792, GC_00007065	0.1429	1	0.1429	0	0	0.25	0	0.6	1	1	0.1489	7	2	7	4	1	8	2	5	3	6	47
L-fucose mutarotase [EC:5.1.3.29]	39.56737296065678	2.0189533262360684e-5	1.0191290296179676e-4	Ia.3.V, Ia.3.IV, Ia.3.VI	K02431	GC_00001354	0	0	0	0	0	0.75	1	0	0	0	0.617	7	2	7	4	1	8	2	5	3	6	47
epoxide hydrolase	38.57567675811401	3.0119508752807237e-5	1.508356426474576e-4	Ia.1.I, Ia.3.IV, Ia.3.I, Ia.3.VI	K21159	GC_00001383	1	0	0	0	0	0	1	0.2	1	0	0.4255	7	2	7	4	1	8	2	5	3	6	47
4-(gamma-glutamylamino)butanal dehydrogenase [EC:1.2.1.99]	38.57567675811401	3.0119508752807237e-5	1.508356426474576e-4	Ia.1.I, Ia.3.IV, Ia.3.I, Ia.3.VI	K09472	GC_00001379	1	0	0	0	0	0	1	0.2	1	0	0.4255	7	2	7	4	1	8	2	5	3	6	47
UDP-MurNAc hydroxylase	38.41601028184833	3.211620867825798e-5	1.6020171809194038e-4	Ia.4.II, Ia.4.1483, Ia.3.III	K14952	GC_00003587, GC_00004728, GC_00004850	0	0	0.2857	0	1	0	0	0.2	0	0	0	7	2	7	4	1	8	2	5	3	6	47
XRE family transcriptional regulator, fatty acid utilization regulator	38.08796785995221	3.6636538400161666e-5	1.813222427851751e-4	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K21686	GC_00000970	1	1	1	1	1	0.375	1	1	1	1	0.9574	7	2	7	4	1	8	2	5	3	6	47
isocitrate lyase [EC:4.1.3.1]	38.08796785995221	3.6636538400161666e-5	1.813222427851751e-4	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K01637	GC_00000978	1	1	1	1	1	0.375	1	1	1	1	0.9574	7	2	7	4	1	8	2	5	3	6	47
allantoate deiminase [EC:3.5.3.9]	37.66813711546676	4.3345203377549054e-5	2.136901660675278e-4	Ia.3.VI	K02083	GC_00001395	0	0	0	0	0	0	0	0	0	0.1667	0.617	7	2	7	4	1	8	2	5	3	6	47
fructose transport system ATP-binding protein	36.590008666771936	6.66186239350253e-5	3.233938564202186e-4	Ia.3.VI	K10554	GC_00001420	0	0	0	0	0	0	0	0	0	0	0.5745	7	2	7	4	1	8	2	5	3	6	47
fructose transport system permease protein	36.590008666771936	6.66186239350253e-5	3.233938564202186e-4	Ia.3.VI	K10553	GC_00001422	0	0	0	0	0	0	0	0	0	0	0.5745	7	2	7	4	1	8	2	5	3	6	47
xylulokinase [EC:2.7.1.17]	36.590008666771936	6.66186239350253e-5	3.233938564202186e-4	Ia.3.VI	K00854	GC_00001425	0	0	0	0	0	0	0	0	0	0	0.5745	7	2	7	4	1	8	2	5	3	6	47
fructose transport system substrate-binding protein	36.590008666771936	6.66186239350253e-5	3.233938564202186e-4	Ia.3.VI	K10552	GC_00001421	0	0	0	0	0	0	0	0	0	0	0.5745	7	2	7	4	1	8	2	5	3	6	47
ribokinase [EC:2.7.1.15]	36.24113475177307	7.65096979090173e-5	3.6999155439207984e-4	Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.II, Ia.3.VI	K00852	GC_00001310	0	0	0	0	0	0.75	1	1	0	0.6667	0.617	7	2	7	4	1	8	2	5	3	6	47
hemoglobin	36.20107254534462	7.773406587436732e-5	3.7448312343278857e-4	Ia.1.I, Ia.3.V, Ia.3.IV, Ia.3.II	K06886	GC_00002082, GC_00004579	0.5714	0	0	0	0	0.125	0.5	0	0	0.1667	0	7	2	7	4	1	8	2	5	3	6	47
putative proteasome-type protease	36.06850549056209	8.192445124680586e-5	3.9317530200645083e-4	Ib.1, Ia.4.II, Ia.4.RS39, Ia.3.V, Ia.3.III, Ia.3.I	K07395	GC_00001497	0	0.5	0.4286	0.25	0	0.375	0	1	0.6667	0	0.0851	7	2	7	4	1	8	2	5	3	6	47
adducin	35.78398857338933	9.168165941140016e-5	4.38342122544317e-4	Ia.3.III, Ia.3.II, Ia.3.VI	K18622	GC_00001360	0	0	0	0	0	0	0	0.8	0	0.8333	0.5532	7	2	7	4	1	8	2	5	3	6	47
copper resistance protein B	35.57334664848118	9.963248350315076e-5	4.745652503702708e-4	Ia.3.III	K07233	GC_00003200	0	0	0	0	0	0	0	0.4	0	0	0	7	2	7	4	1	8	2	5	3	6	47
N-acyl-phosphatidylethanolamine-hydrolysing phospholipase D [EC:3.1.4.54]	35.323424063434324	1.0994766439706832e-4	5.21736669629534e-4	Ib.1, Ia.4.II, Ia.4.RS39, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.VI	K13985	GC_00000015	0.8571	1	1	1	0	1	1	1	0.6667	0.8333	1	7	2	7	4	1	8	2	5	3	6	47
L-fuculose-phosphate aldolase [EC:4.1.2.17]	35.251176584294505	1.1312021913317265e-4	5.347884986631708e-4	Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.III, Ia.3.I, Ia.3.VI	K01628	GC_00001076	0.1429	1	1	1	1	0.625	0	1	1	0.6667	0.8723	7	2	7	4	1	8	2	5	3	6	47
(E)-2-((N-methylformamido)methylene)succinate hydrolase [EC:3.5.1.-]	34.36339034341475	1.60260015180851e-4	7.548306291231903e-4	Ia.1.I, Ia.3.V, Ia.3.IV, Ia.3.II	K23465	GC_00001358	1	0	0	0	0	0.625	0.5	0.2	0	1	0.3404	7	2	7	4	1	8	2	5	3	6	47
zinc transport system permease protein	34.00306159117676	1.844777313329115e-4	8.59313549995584e-4	Ib.1, Ia.4.II, Ia.4.RS39, Ia.3.V, Ia.3.I, Ia.3.II	K09816	GC_00001128	0.2857	1	1	1	0	1	0.5	0	1	1	0.7021	7	2	7	4	1	8	2	5	3	6	47
zinc transport system substrate-binding protein	34.00306159117676	1.844777313329115e-4	8.59313549995584e-4	Ib.1, Ia.4.II, Ia.4.RS39, Ia.3.V, Ia.3.I, Ia.3.II	K09815	GC_00001114	0.2857	1	1	1	0	1	0.5	0	1	1	0.7021	7	2	7	4	1	8	2	5	3	6	47
zinc transport system ATP-binding protein [EC:7.2.2.20]	34.00306159117676	1.844777313329115e-4	8.59313549995584e-4	Ib.1, Ia.4.II, Ia.4.RS39, Ia.3.V, Ia.3.I, Ia.3.II	K09817	GC_00001129	0.2857	1	1	1	0	1	0.5	0	1	1	0.7021	7	2	7	4	1	8	2	5	3	6	47
polysaccharide biosynthesis transport protein [EC:2.7.10.3]	33.81989626781974	1.9812894827314653e-4	9.161656111754623e-4	Ib.1, Ia.3.I, Ia.3.VI	K16554	GC_00001801	0	1	0	0	0	0	0	0	0.6667	0	0.1064	7	2	7	4	1	8	2	5	3	6	47
polysaccharide biosynthesis/export protein	33.81989626781974	1.9812894827314653e-4	9.161656111754623e-4	Ib.1, Ia.3.I, Ia.3.VI	K01991	GC_00002024, GC_00003232	0	1	0	0	0	0	0	0	0.6667	0	0.1064	7	2	7	4	1	8	2	5	3	6	47
choline dehydrogenase [EC:1.1.99.1]	33.68918511794055	2.0847128695767185e-4	9.604840748195282e-4	Ib.1, Ia.3.V, Ia.3.IV, Ia.3.I	K00108	GC_00001576	0	1	0	0	0	0.25	0.5	0	1	0	0.1489	7	2	7	4	1	8	2	5	3	6	47
putative flavoprotein involved in K+ transport	32.82596926577761	2.9134618978141687e-4	0.0013326195756427986	Ia.3.III, Ia.3.I	K07222	GC_00002806	0	0	0	0	0	0	0	0.4	0.3333	0	0	7	2	7	4	1	8	2	5	3	6	47
2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]	32.82596926577761	2.9134618978141687e-4	0.0013326195756427986	Ia.3.III, Ia.3.I	K09022	GC_00002665	0	0	0	0	0	0	0	0.4	0.3333	0	0	7	2	7	4	1	8	2	5	3	6	47
cyclohexanone monooxygenase [EC:1.14.13.22]	30.86356446796725	6.17948850369127e-4	0.002816335228121165	Ia.1.I, Ia.3.IV	K03379	GC_00002875	0.2857	0	0	0	0	0	0.5	0	0	0	0	7	2	7	4	1	8	2	5	3	6	47
dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]	30.779880530839243	6.378956553592716e-4	0.002896823639212176	Ia.4.RS39, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K01790	GC_00001418, GC_00002759, GC_00003706, GC_00003731, GC_00004396, GC_00005049, GC_00006653, GC_00008064	0.1429	0	0	1	0	0.75	0.5	0.8	0.6667	0.6667	0.234	7	2	7	4	1	8	2	5	3	6	47
putative oxidoreductase	30.5734427520613	6.898246567444617e-4	0.003121456571768689	Ia.1.I, Ia.4.II, Ia.4.1483, Ia.3.IV, Ia.3.III	K15977	GC_00001381, GC_00005623	0.8571	0	1	0	1	0.125	0.5	0.4	0.3333	0	0.3191	7	2	7	4	1	8	2	5	3	6	47
dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	29.99333570450237	8.587939505013934e-4	0.0038313096312864083	Ia.3.I	K00067	GC_00005009	0	0	0	0	0	0	0	0	0.3333	0	0	7	2	7	4	1	8	2	5	3	6	47
ATP-dependent Clp protease adaptor protein ClpS	29.99333570450237	8.587939505013934e-4	0.0038313096312864083	Ia.3.I	K06891	GC_00004729	0	0	0	0	0	0	0	0	0.3333	0	0	7	2	7	4	1	8	2	5	3	6	47
8-oxo-dGTP diphosphatase [EC:3.6.1.55]	29.99333570450237	8.587939505013934e-4	0.0038313096312864083	Ia.3.I	K03574	GC_00006884	0	0	0	0	0	0	0	0	0.3333	0	0	7	2	7	4	1	8	2	5	3	6	47
aldose sugar dehydrogenase [EC:1.1.5.-]	29.99333570450219	8.587939505014522e-4	0.0038313096312864083	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.II, Ia.3.VI	K21430	GC_00000882, GC_00004947, GC_00005630, GC_00005718	1	1	1	1	1	1	1	1	0.6667	1	1	7	2	7	4	1	8	2	5	3	6	47
cytochrome b pre-mRNA-processing protein 3	29.872230878453703	8.988438810835708e-4	0.003995912973097839	Ia.1.I, Ib.1, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K17662	GC_00000977, GC_00003853	1	1	0.5714	1	1	1	0.5	1	1	1	0.9787	7	2	7	4	1	8	2	5	3	6	47
dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]	29.779421634644137	9.307610405536231e-4	0.004123336497837205	Ia.4.RS39, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K01710	GC_00001374, GC_00003988, GC_00004314, GC_00004902, GC_00005239, GC_00007449, GC_00007542	0.1429	0	0.2857	1	0	0.625	0.5	0.8	1	1	0.2979	7	2	7	4	1	8	2	5	3	6	47
raffinose/stachyose/melibiose transport system substrate-binding protein	29.495269320821755	0.0010354901484891717	0.004539674803237995	Ia.3.V, Ia.3.VI	K10117	GC_00001404	0	0	0	0	0	0.375	0	0	0	0	0.5532	7	2	7	4	1	8	2	5	3	6	47
alpha-galactosidase [EC:3.2.1.22]	29.495269320821755	0.0010354901484891717	0.004539674803237995	Ia.3.V, Ia.3.VI	K07406	GC_00001407	0	0	0	0	0	0.375	0	0	0	0	0.5532	7	2	7	4	1	8	2	5	3	6	47
